( Transverse wakefield for ILC 9-cell cavity 18-feb-2005
( For z<6 mm wakes are from equations by Zagorodnov and Weiland, 2003
( For z>6 mm wake supplied by Zagorodnov in private calculation
( #    z[m]           W(z) [V/c/m]
1   0.000000e+000   4.150000e+013
2   2.000000e-004   2.956716e+013
3   4.000000e-004   2.569330e+013
4   6.000000e-004   2.306862e+013
5   8.000000e-004   2.106536e+013
6   1.000000e-003   1.944511e+013
7   1.200000e-003   1.808782e+013
8   1.400000e-003   1.692344e+013
9   1.600000e-003   1.590712e+013
10   1.800000e-003   1.500822e+013
11   2.000000e-003   1.420482e+013
12   2.200000e-003   1.348061e+013
13   2.400000e-003   1.282316e+013
14   2.600000e-003   1.222273e+013
15   2.800000e-003   1.167154e+013
16   3.000000e-003   1.116327e+013
17   3.200000e-003   1.069276e+013
18   3.400000e-003   1.025566e+013
19   3.600000e-003   9.848346e+012
20   3.800000e-003   9.467722e+012
21   4.000000e-003   9.111135e+012
22   4.200000e-003   8.776299e+012
23   4.400000e-003   8.461221e+012
24   4.600000e-003   8.164164e+012
25   4.800000e-003   7.883594e+012
26   5.000000e-003   7.618159e+012
27   5.200000e-003   7.366657e+012
28   5.400000e-003   7.128015e+012
29   5.600000e-003   6.901274e+012
30   5.800000e-003   6.685573e+012
31   6.000000e-003   6.524645e+012
32   6.200000e-003   6.727176e+012
33   6.400000e-003   6.492178e+012
34   6.600000e-003   6.376261e+012
35   6.800000e-003   6.233516e+012
36   7.000000e-003   6.101957e+012
37   7.200000e-003   5.970377e+012
38   7.400000e-003   5.840847e+012
39   7.600000e-003   5.712015e+012
40   7.800000e-003   5.583647e+012
41   8.000000e-003   5.455479e+012
42   8.200000e-003   5.327580e+012
43   8.400000e-003   5.200295e+012
44   8.600000e-003   5.074250e+012
45   8.800000e-003   4.950308e+012
46   9.000000e-003   4.829479e+012
47   9.200000e-003   4.712821e+012
48   9.400000e-003   4.601329e+012
49   9.600000e-003   4.495829e+012
50   9.800000e-003   4.396903e+012
51   1.000000e-002   4.304850e+012
52   1.020000e-002   4.219678e+012
53   1.040000e-002   4.141140e+012
54   1.060000e-002   4.068782e+012
55   1.080000e-002   4.002014e+012
56   1.100000e-002   3.940174e+012
57   1.120000e-002   3.882576e+012
58   1.140000e-002   3.828554e+012
59   1.160000e-002   3.777482e+012
60   1.180000e-002   3.728778e+012
61   1.200000e-002   3.681904e+012
62   1.220000e-002   3.636356e+012
63   1.240000e-002   3.591653e+012
64   1.260000e-002   3.547334e+012
65   1.280000e-002   3.502950e+012
66   1.300000e-002   3.458061e+012
67   1.320000e-002   3.412237e+012
68   1.340000e-002   3.365057e+012
69   1.360000e-002   3.316113e+012
70   1.380000e-002   3.265015e+012
71   1.400000e-002   3.211400e+012
72   1.420000e-002   3.154947e+012
73   1.440000e-002   3.095390e+012
74   1.460000e-002   3.032535e+012
75   1.480000e-002   2.966279e+012
76   1.500000e-002   2.896610e+012
77   1.520000e-002   2.823619e+012
78   1.540000e-002   2.747488e+012
79   1.560000e-002   2.668472e+012
80   1.580000e-002   2.586891e+012
81   1.600000e-002   2.503101e+012
82   1.620000e-002   2.417477e+012
83   1.640000e-002   2.330404e+012
84   1.660000e-002   2.242267e+012
85   1.680000e-002   2.153445e+012
86   1.700000e-002   2.064311e+012
87   1.720000e-002   1.975226e+012
88   1.740000e-002   1.886537e+012
89   1.760000e-002   1.798559e+012
90   1.780000e-002   1.711575e+012
91   1.800000e-002   1.625814e+012
92   1.820000e-002   1.541446e+012
93   1.840000e-002   1.458583e+012
94   1.860000e-002   1.377283e+012
95   1.880000e-002   1.297569e+012
96   1.900000e-002   1.219449e+012
97   1.920000e-002   1.142943e+012
98   1.940000e-002   1.068111e+012
99   1.960000e-002   9.950718e+011
100   1.980000e-002   9.240150e+011
101   2.000000e-002   8.552043e+011
102   2.020000e-002   7.889646e+011
103   2.040000e-002   7.256624e+011
104   2.060000e-002   6.656782e+011
105   2.080000e-002   6.093765e+011
106   2.100000e-002   5.570770e+011
107   2.120000e-002   5.090316e+011
108   2.140000e-002   4.654114e+011
109   2.160000e-002   4.263025e+011
110   2.180000e-002   3.917150e+011
111   2.200000e-002   3.615982e+011
112   2.220000e-002   3.358632e+011
113   2.240000e-002   3.144052e+011
114   2.260000e-002   2.971218e+011
115   2.280000e-002   2.839240e+011
116   2.300000e-002   2.747352e+011
117   2.320000e-002   2.694829e+011
118   2.340000e-002   2.680832e+011
119   2.360000e-002   2.704224e+011
120   2.380000e-002   2.763439e+011
121   2.400000e-002   2.856398e+011
122   2.420000e-002   2.980518e+011
123   2.440000e-002   3.132778e+011
124   2.460000e-002   3.309831e+011
125   2.480000e-002   3.508097e+011
126   2.500000e-002   3.723833e+011
127   2.520000e-002   3.953148e+011
128   2.540000e-002   4.191979e+011
129   2.560000e-002   4.436064e+011
130   2.580000e-002   4.680937e+011
131   2.600000e-002   4.921984e+011
132   2.620000e-002   5.154581e+011
133   2.640000e-002   5.374318e+011
134   2.660000e-002   5.577279e+011
135   2.680000e-002   5.760351e+011
136   2.700000e-002   5.921509e+011
137   2.720000e-002   6.060028e+011
138   2.740000e-002   6.176586e+011
139   2.760000e-002   6.273214e+011
140   2.780000e-002   6.353112e+011
141   2.800000e-002   6.420339e+011
142   2.820000e-002   6.479410e+011
143   2.840000e-002   6.534881e+011
144   2.860000e-002   6.590957e+011
145   2.880000e-002   6.651185e+011
146   2.900000e-002   6.718251e+011
147   2.920000e-002   6.793913e+011
148   2.940000e-002   6.879022e+011
149   2.960000e-002   6.973637e+011
150   2.980000e-002   7.077175e+011
151   3.000000e-002   7.188567e+011
