( Transverse wakefield for ILC 9-cell cavity 18-feb-2005
( For z<6 mm wakes are from equations by Zagorodnov and Weiland, 2003
( For z>6 mm wake supplied by Zagorodnov in private calculation
( #    z[m]           W(z) [V/c/m^2]
1   0.000000e+000   0.000000e+000
2   2.000000e-004   9.697926e+012
3   4.000000e-004   1.715968e+013
4   6.000000e-004   2.346584e+013
5   8.000000e-004   2.897110e+013
6   1.000000e-003   3.386764e+013
7   1.200000e-003   3.827783e+013
8   1.400000e-003   4.228672e+013
9   1.600000e-003   4.595690e+013
10   1.800000e-003   4.933632e+013
11   2.000000e-003   5.246279e+013
12   2.200000e-003   5.536687e+013
13   2.400000e-003   5.807367e+013
14   2.600000e-003   6.060420e+013
15   2.800000e-003   6.297620e+013
16   3.000000e-003   6.520484e+013
17   3.200000e-003   6.730318e+013
18   3.400000e-003   6.899460e+013
19   3.600000e-003   7.061440e+013
20   3.800000e-003   7.289018e+013
21   4.000000e-003   7.489401e+013
22   4.200000e-003   7.684999e+013
23   4.400000e-003   7.870641e+013
24   4.600000e-003   8.048481e+013
25   4.800000e-003   8.218653e+013
26   5.000000e-003   8.381776e+013
27   5.200000e-003   8.538281e+013
28   5.400000e-003   8.688596e+013
29   5.600000e-003   8.833092e+013
30   5.800000e-003   8.972104e+013
31   6.000000e-003   9.105923e+013
32   6.200000e-003   9.234801e+013
33   6.400000e-003   9.358952e+013
34   6.600000e-003   9.478554e+013
35   6.800000e-003   9.593757e+013
36   7.000000e-003   9.704682e+013
37   7.200000e-003   9.811429e+013
38   7.400000e-003   9.914078e+013
39   7.600000e-003   1.001270e+014
40   7.800000e-003   1.010735e+014
41   8.000000e-003   1.019808e+014
42   8.200000e-003   1.028496e+014
43   8.400000e-003   1.036805e+014
44   8.600000e-003   1.044740e+014
45   8.800000e-003   1.052311e+014
46   9.000000e-003   1.059525e+014
47   9.200000e-003   1.066395e+014
48   9.400000e-003   1.072933e+014
49   9.600000e-003   1.079151e+014
50   9.800000e-003   1.085067e+014
51   1.000000e-002   1.090695e+014
52   1.020000e-002   1.096052e+014
53   1.040000e-002   1.101157e+014
54   1.060000e-002   1.106026e+014
55   1.080000e-002   1.110676e+014
56   1.100000e-002   1.115124e+014
57   1.120000e-002   1.119384e+014
58   1.140000e-002   1.123470e+014
59   1.160000e-002   1.127393e+014
60   1.180000e-002   1.131165e+014
61   1.200000e-002   1.134792e+014
62   1.220000e-002   1.138281e+014
63   1.240000e-002   1.141638e+014
64   1.260000e-002   1.144865e+014
65   1.280000e-002   1.147965e+014
66   1.300000e-002   1.150940e+014
67   1.320000e-002   1.153791e+014
68   1.340000e-002   1.156517e+014
69   1.360000e-002   1.159119e+014
70   1.380000e-002   1.161596e+014
71   1.400000e-002   1.163944e+014
72   1.420000e-002   1.166162e+014
73   1.440000e-002   1.168246e+014
74   1.460000e-002   1.170192e+014
75   1.480000e-002   1.171993e+014
76   1.500000e-002   1.173645e+014
77   1.520000e-002   1.175141e+014
78   1.540000e-002   1.176477e+014
79   1.560000e-002   1.177647e+014
80   1.580000e-002   1.178646e+014
81   1.600000e-002   1.179471e+014
82   1.620000e-002   1.180119e+014
83   1.640000e-002   1.180587e+014
84   1.660000e-002   1.180873e+014
85   1.680000e-002   1.180979e+014
86   1.700000e-002   1.180902e+014
87   1.720000e-002   1.180644e+014
88   1.740000e-002   1.180206e+014
89   1.760000e-002   1.179591e+014
90   1.780000e-002   1.178802e+014
91   1.800000e-002   1.177842e+014
92   1.820000e-002   1.176716e+014
93   1.840000e-002   1.175429e+014
94   1.860000e-002   1.173989e+014
95   1.880000e-002   1.172401e+014
96   1.900000e-002   1.170675e+014
97   1.920000e-002   1.168819e+014
98   1.940000e-002   1.166843e+014
99   1.960000e-002   1.164756e+014
100   1.980000e-002   1.162570e+014
101   2.000000e-002   1.160293e+014
102   2.020000e-002   1.157935e+014
103   2.040000e-002   1.155504e+014
104   2.060000e-002   1.153007e+014
105   2.080000e-002   1.150446e+014
106   2.100000e-002   1.147825e+014
107   2.120000e-002   1.145144e+014
108   2.140000e-002   1.142400e+014
109   2.160000e-002   1.139591e+014
110   2.180000e-002   1.136716e+014
111   2.200000e-002   1.133772e+014
112   2.220000e-002   1.130758e+014
113   2.240000e-002   1.127676e+014
114   2.260000e-002   1.124527e+014
115   2.280000e-002   1.121317e+014
116   2.300000e-002   1.118052e+014
117   2.320000e-002   1.114738e+014
118   2.340000e-002   1.111383e+014
119   2.360000e-002   1.107997e+014
120   2.380000e-002   1.104588e+014
121   2.400000e-002   1.101165e+014
122   2.420000e-002   1.097737e+014
123   2.440000e-002   1.094312e+014
124   2.460000e-002   1.090899e+014
125   2.480000e-002   1.087505e+014
126   2.500000e-002   1.084135e+014
127   2.520000e-002   1.080797e+014
128   2.540000e-002   1.077492e+014
129   2.560000e-002   1.074225e+014
130   2.580000e-002   1.070996e+014
131   2.600000e-002   1.067805e+014
132   2.620000e-002   1.064650e+014
133   2.640000e-002   1.061529e+014
134   2.660000e-002   1.058436e+014
135   2.680000e-002   1.055367e+014
136   2.700000e-002   1.052316e+014
137   2.720000e-002   1.049278e+014
138   2.740000e-002   1.046248e+014
139   2.760000e-002   1.043220e+014
140   2.780000e-002   1.040191e+014
141   2.800000e-002   1.037159e+014
142   2.820000e-002   1.034121e+014
143   2.840000e-002   1.031079e+014
144   2.860000e-002   1.028032e+014
145   2.880000e-002   1.024983e+014
146   2.900000e-002   1.021935e+014
147   2.920000e-002   1.018891e+014
148   2.940000e-002   1.015853e+014
149   2.960000e-002   1.012827e+014
150   2.980000e-002   1.009814e+014
151   3.000000e-002   1.006818e+014
152   3.020000e-002   1.003839e+014
153   3.040000e-002   1.000880e+014
154   3.060000e-002   9.979403e+013
155   3.080000e-002   9.950194e+013
156   3.100000e-002   9.921160e+013
157   3.120000e-002   9.892278e+013
158   3.140000e-002   9.863519e+013
159   3.160000e-002   9.834845e+013
160   3.180000e-002   9.806212e+013
161   3.200000e-002   9.777572e+013
162   3.220000e-002   9.748869e+013
163   3.240000e-002   9.720047e+013
164   3.260000e-002   9.691045e+013
165   3.280000e-002   9.661804e+013
166   3.300000e-002   9.632271e+013
167   3.320000e-002   9.602396e+013
168   3.340000e-002   9.572140e+013
169   3.360000e-002   9.541470e+013
170   3.380000e-002   9.510368e+013
171   3.400000e-002   9.478825e+013
172   3.420000e-002   9.446844e+013
173   3.440000e-002   9.414439e+013
174   3.460000e-002   9.381629e+013
175   3.480000e-002   9.348439e+013
176   3.500000e-002   9.314900e+013
177   3.520000e-002   9.281044e+013
178   3.540000e-002   9.246904e+013
179   3.560000e-002   9.212515e+013
180   3.580000e-002   9.177912e+013
181   3.600000e-002   9.143129e+013
182   3.620000e-002   9.108204e+013
183   3.640000e-002   9.073176e+013
184   3.660000e-002   9.038086e+013
185   3.680000e-002   9.002980e+013
186   3.700000e-002   8.967908e+013
187   3.720000e-002   8.932919e+013
188   3.740000e-002   8.898071e+013
189   3.760000e-002   8.863421e+013
190   3.780000e-002   8.829027e+013
191   3.800000e-002   8.794948e+013
192   3.820000e-002   8.761237e+013
193   3.840000e-002   8.727944e+013
194   3.860000e-002   8.695112e+013
195   3.880000e-002   8.662776e+013
196   3.900000e-002   8.630963e+013
197   3.920000e-002   8.599689e+013
198   3.940000e-002   8.568958e+013
199   3.960000e-002   8.538766e+013
200   3.980000e-002   8.509096e+013
201   4.000000e-002   8.479922e+013
202   4.020000e-002   8.451215e+013
203   4.040000e-002   8.422936e+013
204   4.060000e-002   8.395046e+013
205   4.080000e-002   8.367504e+013
206   4.100000e-002   8.340271e+013
207   4.120000e-002   8.313312e+013
208   4.140000e-002   8.286598e+013
209   4.160000e-002   8.260106e+013
210   4.180000e-002   8.233821e+013
211   4.200000e-002   8.207734e+013
212   4.220000e-002   8.181845e+013
213   4.240000e-002   8.156157e+013
214   4.260000e-002   8.130677e+013
215   4.280000e-002   8.105417e+013
216   4.300000e-002   8.080389e+013
217   4.320000e-002   8.055601e+013
218   4.340000e-002   8.031060e+013
219   4.360000e-002   8.006770e+013
220   4.380000e-002   7.982727e+013
221   4.400000e-002   7.958921e+013
222   4.420000e-002   7.935338e+013
223   4.440000e-002   7.911954e+013
224   4.460000e-002   7.888738e+013
225   4.480000e-002   7.865655e+013
226   4.500000e-002   7.842667e+013
227   4.520000e-002   7.819728e+013
228   4.540000e-002   7.796795e+013
229   4.560000e-002   7.773824e+013
230   4.580000e-002   7.750769e+013
231   4.600000e-002   7.727586e+013
232   4.620000e-002   7.704235e+013
233   4.640000e-002   7.680674e+013
234   4.660000e-002   7.656862e+013
235   4.680000e-002   7.632761e+013
236   4.700000e-002   7.608331e+013
237   4.720000e-002   7.583531e+013
238   4.740000e-002   7.558319e+013
239   4.760000e-002   7.532654e+013
240   4.780000e-002   7.506492e+013
241   4.800000e-002   7.479789e+013
242   4.820000e-002   7.452503e+013
243   4.840000e-002   7.424592e+013
244   4.860000e-002   7.396014e+013
245   4.880000e-002   7.366737e+013
246   4.900000e-002   7.336728e+013
247   4.920000e-002   7.305965e+013
248   4.940000e-002   7.274432e+013
249   4.960000e-002   7.242124e+013
250   4.980000e-002   7.209046e+013
251   5.000000e-002   7.175210e+013
252   5.020000e-002   7.140644e+013
253   5.040000e-002   7.105382e+013
254   5.060000e-002   7.069464e+013
255   5.080000e-002   7.032939e+013
256   5.100000e-002   6.995856e+013
257   5.120000e-002   6.958263e+013
